2024-01-31 00:45:45.377262
Disciplina,Dia,Inicio,Fim
MAT2453,seg,09:20,11:00
MAT2453,qua,09:20,11:00
MAT2453,sex,09:20,11:00
MAT2453,seg,10:00,11:40
MAT2453,qua,08:00,09:40
MAT2453,sex,08:00,09:40
MAT2453,seg,10:00,11:40
MAT2453,qua,08:00,09:40
MAT2453,qui,08:00,09:40
MAT2453,seg,21:00,22:40
MAT2453,ter,21:00,22:40
MAT2453,sex,19:00,20:40
MAT2453,seg,08:00,10:00
MAT2453,qua,10:00,12:00
MAT2453,sex,08:00,10:00
MAT2453,ter,19:00,21:00
MAT2453,qui,19:00,21:00
MAT2453,sex,21:00,23:00
MAT2453,seg,19:00,21:00
MAT2453,qui,21:00,23:00
MAT2453,sex,21:00,23:00
MAT2453,seg,21:20,23:00
MAT2453,ter,21:20,23:00
MAT2453,qui,19:30,21:10
MAT2453,seg,08:00,09:40
MAT2453,qua,10:00,11:40
MAT2453,sex,08:00,09:40
MAT2453,seg,10:00,11:40
MAT2453,qua,08:00,09:40
MAT2453,sex,10:00,11:40
MAT2453,seg,10:00,11:40
MAT2453,qua,08:00,09:40
MAT2453,sex,10:00,11:40
MAT2453,seg,10:00,11:40
MAT2453,qua,08:00,09:40
MAT2453,sex,10:00,11:40
MAT2453,seg,19:20,21:00
MAT2453,ter,19:20,21:00
MAT2453,qui,21:10,22:50
MAT0146,seg,09:20,11:00
MAT0146,qua,07:30,09:10
MAT0146,sex,09:20,11:00
MAT0146,seg,21:20,23:00
MAT0146,qua,19:30,21:10
MAT0146,sex,19:30,21:10
MAT2454,ter,21:00,22:40
MAT2454,sex,19:00,20:40
MAT0205,ter,14:00,15:40
MAT0205,qui,14:00,15:40
MAT0216,seg,10:00,12:00
MAT0216,qua,08:00,10:00
MAT0216,sex,10:00,12:00
MAT0216,ter,21:00,23:00
MAT0216,qua,19:00,21:00
MAT0216,sex,21:00,23:00
MAT0216,seg,10:00,11:40
MAT0216,qua,08:00,09:40
MAT0216,sex,10:00,11:40
MAT3120,seg,19:20,21:00
MAT3120,qui,21:10,22:50
MAT2455,ter,13:10,14:50
MAT2455,qui,13:10,14:50
MAT2455,ter,15:00,16:40
MAT2455,qui,15:00,16:40
MAT2455,ter,13:10,14:50
MAT2455,qui,13:10,14:50
MAT2455,qua,15:00,16:40
MAT2455,qui,15:00,16:40
MAT2455,seg,13:10,14:50
MAT2455,qui,13:10,14:50
MAT2455,seg,15:00,16:40
MAT2455,qui,15:00,16:40
MAT2455,seg,13:10,14:50
MAT2455,qui,13:10,14:50
MAT2455,seg,15:00,16:40
MAT2455,qui,15:00,16:40
MAT2455,seg,15:00,16:40
MAT2455,qua,15:00,16:40
MAT2455,seg,15:00,16:40
MAT2455,qua,13:10,14:50
MAT2455,seg,13:10,14:50
MAT2455,qua,13:10,14:50
MAT2455,seg,13:10,14:50
MAT2455,qua,15:00,16:40
MAT0311,seg,17:30,19:10
MAT0311,qua,17:40,19:20
MAT0311,sex,17:30,19:10
MAT2219,seg,08:00,09:40
MAT2219,qui,10:00,11:40
MAT0321,ter,08:00,09:40
MAT0321,qui,10:00,11:40
MAP0151,ter,08:00,09:40
MAP0151,sex,10:00,11:40
MAP0151,ter,21:10,22:50
MAP0151,sex,19:20,21:00
MAP0125,seg,08:00,09:40
MAP0125,qui,10:00,11:40
MAT1351,seg,08:00,10:00
MAT1351,qua,10:00,12:00
MAT1351,sex,10:00,12:00
MAT1351,seg,19:00,21:00
MAT1351,ter,19:00,21:00
MAT1351,qui,21:00,23:00
MAT1351,seg,08:00,09:40
MAT1351,qua,10:00,11:40
MAT1351,qui,10:00,11:40
MAT1351,seg,21:10,22:50
MAT1351,ter,19:20,21:00
MAT1351,qui,19:20,21:00
MAT1351,seg,19:20,21:00
MAT1351,ter,21:10,22:50
MAT1351,qui,21:10,22:50
MAT2351,seg,19:00,21:00
MAT2351,qui,21:00,23:00
MAT2351,seg,08:00,09:40
MAT2351,qui,10:00,11:40
MAT2351,seg,21:10,22:50
MAT2351,qua,19:20,21:00
MAP0215,ter,14:00,15:40
MAP0215,qui,14:00,15:40
MAC0102,qui,12:20,14:00
MAC0695,seg,14:00,15:40
MAC0695,qua,16:00,17:40
MAP0100,seg,14:00,15:40
MAP0100,qua,17:30,19:10
MAC0336,ter,16:00,17:40
MAC0336,qui,14:00,15:40
MAC0327,qua,14:00,15:40
MAC0327,sex,10:00,11:40
MAC0470,ter,08:00,09:40
MAC0470,qui,10:00,11:40
MAP0413,seg,16:00,17:40
MAP0413,qua,14:00,15:40
MAP0316,ter,14:00,15:40
MAP0316,qui,16:00,17:40
MAT0130,ter,08:00,09:40
MAT0130,sex,10:00,11:40
MAE0413,ter,14:00,17:40
MAE0413,qui,16:00,17:40
MAE0331,ter,10:00,11:40
MAE0331,qui,08:00,09:40
MAE1514,ter,10:00,11:40
MAE1514,sex,08:00,09:40
MAE1511,ter,10:00,11:40
MAE1511,sex,08:00,09:40
MAE1511,seg,19:20,21:00
MAE1511,qua,21:10,22:50
MAT0236,seg,10:00,11:40
MAT0236,qua,08:00,09:40
MAC0105,qua,14:00,15:40
MAC0105,sex,08:00,09:40
MAT0105,seg,08:00,09:40
MAT0105,qui,10:00,11:40
MAT0105,ter,10:00,12:00
MAT0105,sex,08:00,10:00
MAT0105,ter,21:00,23:00
MAT0105,sex,19:00,21:00
MAT0105,ter,08:00,09:40
MAT0105,sex,10:00,11:40
MAT0105,qua,19:20,21:00
MAT0105,sex,21:10,22:50
MAT0105,qua,21:10,22:50
MAT0105,sex,19:20,21:00
MAT0240,seg,08:00,09:40
MAT0240,qui,10:00,11:40
MAT0240,seg,19:20,21:00
MAT0240,qui,21:10,22:50
MAT0310,seg,10:00,11:40
MAT0310,qui,08:00,09:40
MAT0310,seg,21:10,22:50
MAT0310,qui,19:20,21:00
MAE0302,seg,19:20,21:00
MAE0301,seg,08:00,09:40
MAE0301,qua,10:00,11:40
MAE0301,sex,08:00,09:40
MAC0101,ter,13:00,14:40
MAC0425,ter,16:00,17:40
MAC0425,qui,14:00,15:40
MAT0511,ter,10:00,11:40
MAT0511,qui,08:00,09:40
MAP0216,seg,10:00,11:40
MAP0216,qua,08:00,09:40
MAP0216,sex,10:00,11:40
MAC0110,ter,08:00,09:40
MAC0110,qui,10:00,11:40
MAC0110,ter,10:00,11:40
MAC0110,sex,13:20,15:00
MAC0110,seg,08:00,09:40
MAC0110,qua,10:00,11:40
MAC0110,ter,08:00,09:40
MAC0110,qui,10:00,11:40
MAC0110,qua,21:10,22:50
MAC0110,sex,19:20,21:00
MAC2166,ter,07:30,09:10
MAC2166,sex,09:20,11:00
MAC2166,seg,15:00,16:40
MAC2166,qui,07:30,09:10
MAC2166,ter,07:30,09:10
MAC2166,qui,09:20,11:00
MAC2166,seg,13:10,14:50
MAC2166,qua,13:10,14:50
MAC2166,seg,15:00,16:40
MAC2166,qua,13:10,14:50
MAC2166,qua,09:20,11:00
MAC2166,sex,07:30,09:10
MAC2166,qui,07:30,09:10
MAC2166,sex,15:00,16:40
MAC2166,qua,15:00,16:40
MAC2166,sex,13:10,14:50
MAC2166,ter,09:20,11:00
MAC2166,sex,07:30,09:10
MAC2166,ter,07:30,09:10
MAC2166,sex,09:20,11:00
MAC2166,qua,15:00,16:40
MAC2166,sex,09:20,11:00
MAC2166,qua,13:10,14:50
MAC2166,sex,07:30,09:10
MAC2166,seg,18:30,20:10
MAC2166,sex,17:00,18:40
MAC2166,ter,18:00,19:40
MAC2166,qui,18:00,19:40
MAC0420,qua,10:00,11:40
MAC0420,sex,08:00,09:40
MAC0115,ter,16:00,17:40
MAC0115,qui,16:00,17:40
MAC0113,qua,07:30,09:10
MAC0113,sex,09:20,11:00
MAC0113,qua,09:20,11:00
MAC0113,sex,07:30,09:10
MAC0113,ter,19:30,21:10
MAC0113,qui,21:20,23:00
MAC0113,ter,21:20,23:00
MAC0113,qui,19:30,21:10
MAP2112,ter,19:30,21:10
MAE0121,qua,10:00,11:40
MAE0121,sex,08:00,09:40
MAE0121,seg,21:10,22:50
MAE0121,qua,19:20,21:00
MAE0219,ter,07:30,09:10
MAE0219,qui,09:20,11:00
MAE0219,ter,09:20,11:00
MAE0219,qui,07:30,09:10
MAE0219,qui,19:30,23:00
MAE0219,qui,19:30,23:00
MAE0219,ter,19:30,21:10
MAE0219,qui,21:20,23:00
MAE0219,ter,21:20,23:00
MAE0219,qui,19:30,21:10
MAC0320,ter,14:00,15:40
MAC0320,qui,16:00,17:40
MAE0515,seg,16:00,17:40
MAE0515,qua,14:00,15:40
MAC0460,qua,08:00,09:40
MAC0460,sex,10:00,11:40
MAC0350,ter,10:00,11:40
MAC0350,qui,08:00,09:40
MAT0148,sab,10:00,12:00
MAE0312,ter,08:00,09:40
MAE0312,qui,10:00,11:40
MAP2212,ter,08:00,09:40
MAP2212,qui,10:00,11:40
MAP2212,ter,19:20,21:00
MAP2212,qui,19:20,21:00
MAT1513,seg,10:00,11:40
MAT1513,qui,08:00,09:40
MAT1513,seg,19:20,21:00
MAT1513,qua,21:10,22:50
MAT1513,seg,21:10,22:50
MAT1513,qua,19:20,21:00
MAC0472,seg,16:00,17:40
MAC0472,qui,16:00,17:40
MAC0210,ter,08:00,09:40
MAC0210,qui,10:00,11:40
MAC0321,qui,08:20,10:00
MAC0321,sex,08:20,10:00
MAC0335,qui,13:00,16:00
MAT0359,ter,14:00,15:40
MAT0359,sex,14:00,15:40
MAT0103,qua,09:20,11:00
MAT0103,sex,07:30,09:10
MAT0103,qua,07:30,09:10
MAT0103,sex,09:20,11:00
MAT0103,ter,21:20,23:00
MAT0103,qui,19:30,21:10
MAT0103,ter,19:30,21:10
MAT0103,qui,21:20,23:00
MAT1300,qui,19:00,23:00
MAP2001,qui,08:00,12:00
MAP3121,seg,07:30,09:10
MAP3121,qua,15:00,16:40
MAP3121,seg,09:20,11:00
MAP3121,qua,07:30,09:10
MAP3121,seg,15:00,16:40
MAP3121,qua,09:20,11:00
MAP3121,seg,13:10,14:50
MAP3121,qua,13:10,14:50
MAP3121,ter,09:20,11:00
MAP3121,qui,09:20,11:00
MAP3121,ter,07:30,09:10
MAP3121,qui,07:30,09:10
MAP3121,seg,09:20,11:00
MAP3121,sex,09:20,11:00
MAP3121,ter,09:20,11:00
MAP3121,qui,09:20,11:00
MAP3121,ter,07:30,09:10
MAP3121,qui,07:30,09:10
MAP3121,ter,07:30,09:10
MAP3121,qui,07:30,09:10
MAP3121,qua,07:30,09:10
MAP3121,sex,09:20,11:00
MAP3122,ter,08:20,10:00
MAP3122,qui,08:20,10:00
MAP3122,seg,07:30,09:10
MAP3122,qua,07:30,09:10
MAP2310,seg,14:00,15:40
MAP2310,qua,16:00,17:40
MAP2310,seg,21:10,22:50
MAP2310,qui,19:20,21:00
MAP2110,ter,10:00,11:40
MAP2110,qui,08:00,09:40
MAP2110,ter,21:20,23:00
MAP2110,qui,19:20,21:00
MAC0209,seg,14:00,15:40
MAE0518,seg,14:00,15:40
MAE0518,qua,16:00,17:40
MAP2225,sex,19:20,21:00
MAT0149,qui,16:00,18:00
MAT0149,qui,21:00,23:00
MAE0110,qua,14:00,16:00
MAE0116,qua,19:20,23:00
MAE0116,qua,14:00,17:40
MAE0116,qua,14:00,17:40
MAE0116,qui,14:00,17:40
MAE0116,qui,19:20,23:00
MAE0116,qua,19:20,23:00
MAE0116,ter,08:00,12:00
MAE0228,qua,10:00,11:40
MAE0228,sex,08:00,09:40
MAE0228,seg,21:10,22:50
MAE0228,qua,19:20,21:00
MAC0325,ter,08:00,09:40
MAC0325,qui,10:00,11:40
MAC0427,seg,16:00,17:40
MAC0427,qui,14:00,15:40
MAC0427,seg,19:20,21:00
MAC0427,qui,21:10,22:50
MAT1201,sab,10:00,12:00
MAT1201,sab,17:00,19:00
MAT1201,sab,13:00,15:00
MAP1151,sab,12:00,13:40
MAP1151,sab,12:00,13:40
MAT2401,sab,10:00,12:00
MAT2401,sab,17:00,19:00
MAE0222,ter,19:30,23:00
MAE0222,qui,19:30,21:10
MAE0127,seg,08:00,09:40
MAE0127,qua,10:00,11:40
MAE0127,sex,08:00,09:40
MAE0499,qui,19:30,23:00
MAT0451,sab,14:00,17:40
MAT1500,sex,13:20,15:00
MAT1500,ter,17:30,19:10
MAT1500,sab,10:00,11:40
MAT0521,qua,14:00,15:40
MAT0521,sex,16:00,17:40
MAT0450,ter,21:10,22:50
MAT0450,sex,19:20,21:10
MAT2465,seg,10:00,11:40
MAT2465,qua,08:00,09:40
MAT2465,sex,10:00,11:40
MAE0325,ter,08:00,09:40
MAE0325,qui,10:00,11:40
MAC0426,seg,14:00,15:40
MAC0426,qua,16:00,17:40
MAT0405,qua,10:00,11:40
MAT0405,sex,08:00,09:40
MAC0422,seg,08:00,09:40
MAC0422,qua,10:00,11:40
MAE0315,seg,14:00,15:40
MAE0315,qua,14:00,15:40
MAT0364,seg,08:00,09:40
MAT0364,qua,10:00,11:40
MAT0330,seg,14:00,15:40
MAT0330,qua,16:00,17:40
MAT0233,ter,19:20,21:00
MAT0233,sex,21:10,22:50
MAP2313,qua,08:00,09:40
MAP2313,sex,10:00,11:40
MAC0536,ter,16:00,17:40
MAC0536,qui,16:00,17:40
MAT0101,seg,14:00,15:40
MAT0101,qua,14:00,15:40
MAT0461,ter,10:00,11:40
MAT0461,qui,08:00,09:40
MAT0462,qua,10:00,11:40
MAT0462,qui,16:00,17:40
MAT0463,ter,16:00,17:40
MAT0463,qui,16:00,17:40
MAT0464,seg,10:00,11:40
MAT0464,qua,08:00,09:40
MAC0452,ter,16:00,17:40
MAC0452,qui,16:00,17:40
MAT0365,seg,14:00,15:40
MAT0365,qua,16:00,17:40
MAT0317,seg,10:00,11:40
MAT0317,qua,08:00,09:40
MAT0435,ter,08:00,09:40
MAT0435,sex,10:00,11:40
MAP2000,seg,18:00,18:50
MAP2010,seg,18:00,18:50
MAP2020,seg,18:00,18:50
MAP2040,seg,18:00,18:50
MAP2050,seg,18:00,18:50
MAP2060,seg,18:00,18:50
MAP2061,seg,18:00,18:50
MAP2070,seg,18:00,18:50
MAP2090,seg,18:00,18:50
MAP2080,seg,18:00,18:50
MAC0499,sab,07:00,08:00
MAC0500,sab,08:00,09:00
MAT0112,ter,08:00,10:00
MAT0112,qui,10:00,12:00
MAT0112,qua,21:00,23:00
MAT0112,sex,19:00,21:00
MAT0112,ter,08:00,09:40
MAT0112,qui,10:00,11:40
MAT0112,ter,10:00,11:40
MAT0112,qui,08:00,09:40
MAT0112,ter,10:00,11:40
MAT0112,qui,08:00,09:40
MAC0417,ter,10:00,11:40
MAC0417,qui,08:00,09:40
