2024-01-31 00:45:45.377262
Disciplina,Dia,Inicio,Fim
MAC0329,ter,08:00,09:40
MAC0329,qui,10:00,11:40
MAT0120,seg,10:00,11:40
MAT0120,qui,08:00,09:40
MAT0120,ter,21:10,22:50
MAT0120,sex,19:20,21:00
MAT0120,ter,19:20,21:00
MAT0120,qui,19:20,21:00
MAT0231,seg,10:00,11:40
MAT0231,qui,08:00,09:40
MAT0231,seg,19:20,21:00
MAT0231,qui,21:10,22:50
MAT0231,seg,21:10,22:50
MAT0231,qui,19:20,21:00
MAT3457,seg,07:30,09:10
MAT3457,qui,09:20,11:00
MAT3457,ter,15:00,16:40
MAT3457,qui,09:20,11:00
MAT3457,ter,13:10,14:50
MAT3457,qui,07:30,09:10
MAT3457,qua,07:30,09:10
MAT3457,sex,07:30,09:10
MAT3457,qua,09:20,11:00
MAT3457,sex,09:20,11:00
MAT3457,seg,09:20,11:00
MAT3457,qui,07:30,09:10
MAT3457,seg,09:20,11:00
MAT3457,qua,09:20,11:00
MAT3457,seg,07:30,09:10
MAT3457,qua,07:30,09:10
MAT3457,seg,09:20,11:00
MAT3457,qua,09:20,11:00
MAT3457,seg,07:30,09:10
MAT3457,qua,07:30,09:10
MAT3457,ter,07:30,09:10
MAT3457,qua,09:20,11:00
MAT3457,seg,07:30,09:10
MAT3457,qua,07:30,09:10
MAT0122,ter,10:00,12:00
MAT0122,qui,10:00,12:00
MAT0122,seg,19:00,21:00
MAT0122,qua,21:00,23:00
MAT0222,ter,10:00,11:40
MAT0222,qui,08:00,09:40
MAT2116,ter,08:00,09:40
MAT2116,qui,10:00,11:40
MAC0323,ter,10:00,11:40
MAC0323,qui,08:00,09:40
MAE0352,seg,10:00,11:40
MAE0352,qua,08:00,09:40
MAE0111,seg,14:00,15:40
MAE0111,qua,14:00,15:40
MAT0334,ter,10:00,11:40
MAT0334,qui,08:00,09:40
MAE0353,seg,08:00,09:40
MAE0353,qua,10:00,11:40
MAE0353,sex,10:00,11:40
MAT0206,seg,10:00,11:40
MAT0206,qua,08:00,09:40
MAT0206,sex,10:00,11:40
MAT0264,seg,08:00,09:40
MAT0264,qua,10:00,11:40
MAP2210,ter,10:00,11:40
MAP2210,qui,08:00,09:40
MAP2210,ter,21:10,23:00
MAP2210,sex,19:20,21:00
MAC0213,sab,08:00,09:40
MAC0214,sab,14:00,15:40
MAC0215,sab,10:00,11:40
MAT0141,ter,08:00,12:00
MAT0141,ter,08:00,12:00
MAP0217,seg,17:30,19:10
MAP0217,qua,17:40,19:20
MAP0217,sex,17:30,19:10
MAT0111,seg,10:00,11:40
MAT0111,ter,14:00,15:40
MAT0111,qui,10:00,11:40
MAT2453,seg,09:20,11:00
MAT2453,qui,07:30,09:10
MAT2453,sex,07:30,09:10
MAT2453,ter,13:10,14:50
MAT2453,qui,13:10,14:50
MAT2453,sex,09:20,11:00
MAT2453,ter,15:00,16:40
MAT2453,qui,15:00,16:40
MAT2453,sex,07:30,09:10
MAT2453,seg,15:00,16:40
MAT2453,qua,09:20,11:00
MAT2453,sex,09:20,11:00
MAT2453,seg,13:10,14:50
MAT2453,qua,07:30,09:10
MAT2453,sex,07:30,09:10
MAT2453,seg,07:30,09:10
MAT2453,qui,09:20,11:00
MAT2453,sex,09:20,11:00
MAT2453,seg,07:30,09:10
MAT2453,qua,07:30,09:10
MAT2453,sex,13:10,14:50
MAT2453,seg,09:20,11:00
MAT2453,qua,09:20,11:00
MAT2453,sex,15:00,16:40
MAT2453,seg,07:30,09:10
MAT2453,qua,07:30,09:10
MAT2453,sex,09:20,11:00
MAT2453,seg,09:20,11:00
MAT2453,qua,09:20,11:00
MAT2453,sex,07:30,09:10
MAT2453,seg,07:30,09:10
MAT2453,qua,07:30,09:10
MAT2453,qui,09:20,11:00
